timestamp,unix_time,state,gaze_label,looking_at_screen,temperature,distance,loud
2026-03-15 11:53:58.044915,1773575638.0449212,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:58.209748,1773575638.2097542,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:58.373442,1773575638.373448,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,25.3,68.1,0
2026-03-15 11:53:58.540226,1773575638.540232,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:58.704055,1773575638.7040598,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:58.870295,1773575638.870304,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:59.006869,1773575639.006876,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:59.169921,1773575639.169931,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:59.336577,1773575639.336583,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:59.474495,1773575639.4745018,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,25.3,55.2,0
2026-03-15 11:53:59.647093,1773575639.6471019,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:53:59.806711,1773575639.806719,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:53:59.970825,1773575639.970835,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:00.108515,1773575640.108521,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:00.267209,1773575640.267216,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:00.441754,1773575640.4417589,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,58.1,0
2026-03-15 11:54:00.605389,1773575640.605396,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:00.743308,1773575640.743314,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:00.914476,1773575640.914481,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:01.073190,1773575641.0731971,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:01.240875,1773575641.240882,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:01.403205,1773575641.403212,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,68.3,0
2026-03-15 11:54:01.560956,1773575641.560962,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:01.726001,1773575641.726007,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:01.892214,1773575641.89222,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:02.054243,1773575642.054253,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:02.222813,1773575642.2228212,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:02.380019,1773575642.3800251,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,52.6,0
2026-03-15 11:54:02.544216,1773575642.5442219,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:02.708950,1773575642.708956,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:02.873688,1773575642.873695,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:03.009799,1773575643.009805,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:03.173033,1773575643.1730392,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:03.340256,1773575643.340263,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:03.506382,1773575643.506387,LOOKING_AT_SCREEN,LOOKING CENTER,1,25.3,53.0,0
2026-03-15 11:54:03.673490,1773575643.6734972,NOT_LOOKING_AT_SCREEN,LOOKING RIGHT,0,,,
2026-03-15 11:54:03.842333,1773575643.842339,NOT_LOOKING_AT_SCREEN,LOOKING RIGHT,0,,,
2026-03-15 11:54:04.007625,1773575644.007631,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:04.181702,1773575644.181708,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:04.342034,1773575644.34204,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:04.510646,1773575644.5106518,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,25.3,54.8,0
2026-03-15 11:54:04.674462,1773575644.674468,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:04.842792,1773575644.8427992,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:05.006680,1773575645.006687,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:05.177771,1773575645.177778,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:05.339008,1773575645.3390138,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:05.510537,1773575645.510543,LOOKING_AT_SCREEN,LOOKING CENTER,1,25.3,54.9,0
2026-03-15 11:54:05.674208,1773575645.674214,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:05.839813,1773575645.839819,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:05.976222,1773575645.9762292,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:06.146713,1773575646.1467211,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:06.308399,1773575646.308406,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:06.473931,1773575646.4739358,LOOKING_AT_SCREEN,LOOKING CENTER,1,25.3,58.7,0
2026-03-15 11:54:06.642084,1773575646.64209,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:06.814150,1773575646.814157,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
2026-03-15 11:54:06.980492,1773575646.980499,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:07.115335,1773575647.115343,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:07.278247,1773575647.278253,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:07.441369,1773575647.4413729,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,25.3,64.3,0
2026-03-15 11:54:07.606609,1773575647.606615,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:07.742039,1773575647.742045,NOT_LOOKING_AT_SCREEN,EYES CLOSED,0,,,
2026-03-15 11:54:07.911650,1773575647.911655,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:08.075672,1773575648.0756779,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:08.241338,1773575648.241344,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:08.405341,1773575648.405347,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,,,
2026-03-15 11:54:08.545442,1773575648.5454478,NOT_LOOKING_AT_SCREEN,NO FACE DETECTED,0,25.3,67.9,0
2026-03-15 11:54:08.710739,1773575648.710746,LOOKING_AT_SCREEN,LOOKING CENTER,1,,,
